NLB004389_01	Rijke_God_hoe_is_mijn_boeltje_dus_wild
NLB004481_01	Als_ons_de_winter_gaat_van_heen
NLB004482_01	Psalm_115_Datheen
NLB004483_01	Psalm_110_Datheen
NLB004484_01	Aan_gene_linde_daar_staat_een_dal
NLB004485_01	En_is_er_niemand_in
NLB004486_01	Dies_est_laetitiae_in_ortu_regali
NLB004487_01	Psalm_015_Datheen
NLB004488_01	Psalm_103_Datheen
NLB004489_01	Psalm_121_Datheen
NLB004490_01	Het_zou_een_fier_Margrietelijn
NLB004491_01	Ik_heb_een_wijf_getrouwd
NLB004492_01	Psalm_118_Datheen
NLB004493_01	Het_was_een_klerkje_dat_ging_ter_school
NLB004494_01	O_souverain_pasteur_et_maître
NLB004495_01	Zij_en_zullen_mij_niet_verdrijven
NLB004496_01	Aan_watervlieten_Babylon
NLB004497_01	De_naam_van_Josia_is_geleken
NLB004498_01	Het_vloog_een_klein_wild_vogeltje_1
NLB004499_01	Psalm_068_Datheen
NLB004500_01	Psalm_009_Datheen
NLB004501_01	Ach_Vater_unser_der_du_bist
NLB004502_01	O_Gott_wir_danken_deiner_Güt
NLB004503_01	Ik_heb_gedragen_wel_zeven_jaar_2
NLB004504_01	Vol_druk_zo_is_dat_hart_mijn
NLB014968_01	Les_Bouffons_1
NLB014969_01	Zal_ik_nog_langer_in_hete_tranen
NLB014970_01	La_Durette
NLB014971_01	Zijt_nu_verblijd_in_deze_tijd
NLB014972_01	De_studenten_dans_2
NLB014973_01	Ik_heb_er_een_uitverkoren
NLB014974_01	Toen_Daphne_de_overschone_maagd
NLB014975_01	La_foule_de_Angleterre_1
NLB014976_01	La_Morisque
NLB014977_01	Branle_Guinee
NLB014978_01	La_Dauphine
NLB014979_01	La_Vallette
NLB014980_01	Wilhelmus
NLB014981_01	Si_cette_malheureuse_bande
NLB014982_01	Franse_courante_1
NLB014983_01	Frog_s_galliard
NLB014984_01	Es_ist_das_Heil_uns_kommen_her_1
NLB014985_01	Schoenlappertje_1
NLB014986_01	Hoor_allegaar_hoe_dat_men_klaar
NLB014987_01	Wanneer_ik_slaap
NLB014988_01	Gij_die_mij_met_uw_braaf_gelaat
NLB014989_01	Allemande_guerre_guerre_gai
NLB014990_01	Onze_Heer_God_heeft_hier_beneden
NLB014991_01	Allons_aux_noces
NLB014992_01	Zoet_Robbertje
NLB014993_01	Quand_la_bergère
NLB014994_01	Des_nachts_toen_een_blauw_gesterd_kleed
NLB014995_01	Si_ce_est_pour_mon_pucelage
NLB014996_01	Pavane_maagdelijn
NLB014997_01	Sei_tanto_graziosa
NLB014998_01	Rubinette
NLB014999_01	Phoebus_is_lang_over_de_zee
NLB015000_01	Het_nachtegaaltje_klein
NLB015001_01	La_Durette
NLB015002_01	O_Schepper_fier
NLB015003_01	Wij_twee_zijn_hier_alleen
NLB015004_01	Engelse_fortuin
NLB015005_01	Philips_pavan
NLB015006_01	Gaillarde_Margriet_1
NLB015007_01	La_bourrée_de_France_1
NLB015008_01	Engelse_klokkedans
NLB015009_01	Het_was_een_fraai_rijk_burgerskind
NLB015010_01	Als_ik_uit_wandelen_ga
NLB015011_01	Belle_qui_me_vas_martyrisant
NLB015012_01	Est_ce_mars
NLB015013_01	Come_again
NLB015014_01	Wilder_dan_wild_2
NLB015015_01	La_Avignone
NLB015016_01	Allemande_nonnette
NLB015017_01	Kits_allemande
NLB015018_01	Franse_gaillarde
NLB015019_01	Windje_daar_het_bos_af_drilt
NLB015020_01	La_Orangère
NLB015021_01	Amarylletje_mijn_vriendin
NLB015022_01	Ballet_O_Heemskerk
NLB015023_01	Malle_Sijmen
NLB015024_01	Engels_prins_Daphne
NLB015025_01	Lacrimae_1
NLB015026_01	Pots_honderdduizend_slapperment
NLB015027_01	O_Heer_geef_zo_lang_leeft
NLB015028_01	Liefloksters_van_de_min
NLB015029_01	Schoonste_nimf_van_het_woud_1
NLB015030_01	Courante_sarabande
NLB015031_01	La_Picarde
NLB015032_01	Zuivere_schone_vermakelijke_maagd
NLB015033_01	Ach_ongelukkige_dag
NLB015034_01	La_Maurice
NLB015035_01	Pavane_de_Espagne
NLB015036_01	Questa_dolce_sirena
NLB015037_01	Mrs_Mary_Hofman_s_Allemande
NLB015038_01	O_Angenietje
NLB015039_01	Chi_guerregiar_desia
NLB015040_01	Sonatemi_un_balletto
NLB015041_01	De_mei_die_komt_ons_bij_zeer_blij
NLB015042_01	Allemande_monsieur
NLB015043_01	Dimmi_che_del_mio_cuore
NLB015044_01	Ballet_des_trois_princes
NLB015056_01	Aan_de_oever_van_een_snelle_vliet_1
NLB015086_01	Daar_was_een_sneeuwwit_vogeltje_2
NLB015087_01	Ach_Tjanne_zei_hij_Tjanne_1
NLB015294_01	Ik_zie_de_morgenster
NLB015532_01	Guter_Mut_ist_halber_Leib
NLB015542_01	De_drie_koningsdochtertjes_3
NLB015549_01	De_drie_koningsdochtertjes_2
NLB015550_01	Daar_zou_er_een_maagdje_vroeg_opstaan_6
NLB015552_01	De_drie_koningsdochtertjes_4
NLB015562_01	Daar_was_laatst_een_meisje_loos_6
NLB015563_01	Daar_was_laatst_een_meisje_loos_1
NLB015564_01	Daar_zat_een_uil_en_spon_1
NLB015569_01	Daar_zou_er_een_maagdje_vroeg_opstaan_2
NLB015573_01	Een_meisje_moest_om_water_gaan
NLB015576_01	Een_meisje_had_een_ruiter_lief_1
NLB015587_01	Het_zou_een_meisje_gaan_om_wijn
NLB015592_01	Aan_gene_linde_daar_staat_een_dal
NLB015597_01	Daar_zat_een_uil_en_spon_3
NLB015599_01	Te_mei_als_alle_vogels_zingen
NLB015602_01	Daar_was_een_kwezeltje
NLB015606_01	Daar_was_een_sneeuwwit_vogeltje_1
NLB015611_01	Daar_was_een_kwezeltje
NLB015612_01	Daar_was_laatstmaal_een_ruiter_5
NLB015990_01	Een_boerman_had_een_domme_zin_1
NLB016032_01	De_drie_koningsdochtertjes_5
NLB016056_01	Een_ridder_en_een_meisje_jong
NLB016057_01	Een_ruitertje_jong_van_jaren
NLB016077_01	Daar_ging_een_patertje_langs_de_kant
NLB016114_01	De_drie_koningsdochtertjes_1
NLB016117_01	Er_zou_eens_een_jager_uit_jagen_gaan_6
NLB016118_01	Daar_zat_een_uil_en_spon_2
NLB016154_01	Credo
NLB016155_01	Daar_was_een_sneeuwwit_vogeltje_1
NLB016158_01	Er_zou_een_maagd_om_bloemetjes_gaan
NLB016471_01	Credo
NLB016472_01	Credo
NLB016566_01	Er_zou_eens_een_jager_uit_jagen_gaan_7
NLB016605_01	Daar_was_laatstmaal_een_ruiter_4
NLB016606_01	Daar_waren_twee_koningskinderen_1
NLB016838_01	Ik_stond_op_hoge_bergen_2
NLB016860_01	Ik_wil_van_deze_avond
NLB016879_01	De_spinster
NLB017021_01	Ik_was_er_een_haasje_2
NLB017033_01	Ik_heb_de_groene_straten_1
NLB017040_01	Ik_heb_de_groene_straten_2
NLB017049_01	Daar_was_een_sneeuwwit_vogeltje_3
NLB017058_01	Io_vivat_VAR
NLB017059_01	Io_vivat_VAR
NLB017060_01	Ik_was_er_een_haasje_1
NLB017066_01	De_spinster
NLB017101_01	Naar_oostland_wil_ik_varen_1
NLB017242_01	Ik_kwam_laatstmaal_over_de_Rijn
NLB017698_01	Naar_oostland_wil_ik_varen_2
NLB018954_01	Ach_Tjanne_zei_hij_Tjanne_2
NLB019057_01	Daar_zou_er_een_maagdje_vroeg_opstaan_1
NLB019128_01	Wij_klommen_op_hoge_bergen
NLB024298_01	In_de_begin_heb_dij_o_God
NLB024299_01	Lof_zij_u_God_voor_alle_zaken
NLB024301_01	Ik_zeg_adieu
NLB024302_01	O_triomfante_vrouw
NLB024303_01	Wilhelmus
NLB040681_01	Ik_stond_op_hoge_bergen_2
NLB040690_01	Ach_Tjanne_zei_hij_Tjanne_3
NLB040691_01	Daar_waren_twee_koningskinderen_2
NLB040703_01	Daar_was_een_sneeuwwit_vogeltje_1
NLB054252_01	Daar_kwam_een_boer_van_Zwitserland
NLB063091_01	Aan_de_oever_van_een_snelle_vliet_1
NLB064541_01	Daar_was_laatst_een_meisje_loos_1
NLB065827_01	Daar_achter_in_die_velden
NLB070000_01	Snitser_merke
NLB070001_01	Mijn_vader_zei_laatst_tegen_mij
NLB070002_01	De_ruiter_met_zijn_blanke_zwaard_1
NLB070016_01	Een_lindeboom_stond_in_het_dal_2
NLB070016_02	Een_lindeboom_stond_in_het_dal_2
NLB070017_01	Daar_waren_twee_koningskinderen_4
NLB070019_01	Heer_Halewijn_3
NLB070020_01	De_drie_koningsdochtertjes_6
NLB070021_01	Mijn_vader_zei_laatst_tegen_mij
NLB070022_01	In_Frankrijk_buiten_de_poorten_2
NLB070022_02	In_Frankrijk_buiten_de_poorten_2
NLB070027_01	Toen_ik_stond_op_hoge_bergen_1
NLB070027_02	Toen_ik_stond_op_hoge_bergen_1
NLB070028_01	De_drie_koningsdochtertjes_6
NLB070029_01	Daar_reed_een_jonkheer_2
NLB070030_01	Daar_was_eens_een_boer_1
NLB070033_01	Het_was_op_een_driekoningenavond_1
NLB070037_01	Wilder_dan_wild_1
NLB070038_01	Ik_zing_Jan_Stoffels_lof
NLB070039_01	Naar_oostland_wil_ik_varen_3
NLB070040_01	Een_boerman_had_een_domme_zin_3
NLB070050_01	Vrolijk_is_het_op_zee_te_varen
NLB070051_01	Luister_oud_en_jong_van_jaren_4
NLB070052_01	Lieve_schipper_vaar_me_over_2
NLB070053_01	Zolang_de_boom_zal_bloeien_1
NLB070054_01	Als_de_rombom_heeft_geslagen
NLB070056_01	Wat_hoor_ik_hier_in_het_midden_van_de_nacht
NLB070057_01	Ik_heb_de_groene_straten_2
NLB070059_01	Terschelling_is_hoog_verheven
NLB070060_01	De_meid_en_de_moordenaars
NLB070061_01	Mars_van_Dessau
NLB070063_01	In_het_lommer_van_het_prieeltje_2
NLB070072_01	Lili_Marleen
NLB070073_01	Van_Lauwerszee_tot_Dollard_toe
NLB070074_01	Des_morgens_um_halb_fumfel
NLB070075_01	Er_zou_eens_een_jager_uit_jagen_gaan_2
NLB070075_05	Er_zou_eens_een_jager_uit_jagen_gaan_2
NLB070078_01	Het_vrouwtje_van_Stavoren_1
NLB070079_01	Er_was_een_koopman_rijk_en_machtig
NLB070080_01	Bij_het_ouderengraf
NLB070081_01	Als_de_pot_daar_een_gat_in_is
NLB070082_01	Zolang_de_boom_zal_bloeien_2
NLB070083_01	Geef_me_nog_een_drupje
NLB070084_01	Zeg_pelgrim_ziet_gij_1
NLB070085_01	Bij_Sedan_op_de_heuvel
NLB070088_01	Drie_schuintamboers
NLB070089_01	Een_lindeboom_stond_in_het_dal_1
NLB070090_01	Er_zou_eens_een_jager_uit_jagen_gaan_1
NLB070091_01	Vrienden_kom_hier_en_luister_naar_mijn_lied_1
NLB070092_01	Mijn_vader_zei_laatst_tegen_mij
NLB070095_01	Bij_Sedan_op_de_heuvel
NLB070096_01	Zolang_de_boom_zal_bloeien_1
NLB070106_01	Drie_schuintamboers
NLB070107_01	Di_tanti_palpiti
NLB070108_01	Vrienden_hoort_wat_droeve_klachten
NLB070109_01	Zachtjes_klinkt_het_avondklokje
NLB070110_01	Zakdoekje_leggen
NLB070116_01	Een_leeuw_zat_eens_in_het_net_gevangen
NLB070117_01	Op_een_boom_een_koekoek
NLB070118_01	Het_was_op_een_oudejaarsavond
NLB070121_01	Aan_de_oever_van_een_snelle_vliet_1
NLB070122_01	Er_was_een_koopman_rijk_en_machtig
NLB070123_01	Bij_het_ouderengraf
NLB070124_01	Ik_stond_op_hoge_bergen_1
NLB070125_01	Het_vrouwtje_van_Stavoren_1
NLB070126_01	In_het_lommer_van_het_prieeltje_1
NLB070127_01	Toen_Trien_naar_het_Hoogeveen_toe_ging
NLB070128_01	Moeke_er_staat_een_vrijer_aan_de_deur
NLB070129_01	Toen_ik_stond_op_hoge_bergen_1
NLB070131_01	In_Frankrijk_buiten_de_poorten_2
NLB070132_01	Hoe_helder_de_zon
NLB070134_01	En_er_waren_eens_twee_zoeteliefjes
NLB070135_01	In_Amsterdam_beminde_ik_een_hele_knappe_meid
NLB070136_01	Mijn_vader_zei_laatst_tegen_mij
NLB070137_01	Ik_kwam_laatst_eens_in_de_stad
NLB070138_01	Vrienden_kom_hier_en_luister_naar_mijn_lied_1
NLB070139_01	Drie_schuintamboers
NLB070141_01	Een_lindeboom_stond_in_het_dal_1
NLB070142_01	Bij_het_ouderengraf
NLB070143_01	Adieu_Sofie
NLB070144_01	Een_lindeboom_stond_in_het_dal_1
NLB070145_01	Aan_de_oever_van_een_snelle_vliet_1
NLB070146_01	Vrienden_hoort_wat_droeve_klachten
NLB070154_01	Bei_Leuna_sind_viele_gefallen
NLB070157_01	De_liefde_is_wonder_1
NLB070163_01	Daar_achter_in_die_velden
NLB070164_01	Ik_stond_op_hoge_bergen_1
NLB070165_01	Er_zou_eens_een_jager_uit_jagen_gaan_1
NLB070167_01	Lustig_Lijsje_jong_van_jaren
NLB070177_01	Drie_schuintamboers
NLB070178_01	Er_zou_eens_een_jager_uit_jagen_gaan_1
NLB070179_01	Ik_zing_Jan_Stoffels_lof
NLB070180_01	Mijn_Julia_is_mij_ontnomen
NLB070237_01	Mijn_Julia_is_mij_ontnomen
NLB070238_01	Er_was_een_herderinnetje_1
NLB070239_01	Daar_zou_er_een_maagdje_vroeg_opstaan_5
NLB070241_01	Mars_van_de_schutters
NLB070245_01	Daar_achter_in_die_velden
NLB070247_01	Hoe_helder_de_zon_VAR
NLB070272_01	Wees_nu_verblijd_gij_mensen_al_2
NLB070276_01	Tussen_Keulen_en_Parijs
NLB070279_01	In_Den_Haag_woont_een_dragonder
NLB070281_01	Drie_maal_drie_is_negen
NLB070283_01	Lang_zal_hij_leven
NLB070285_01	Sinterklaas_kapoentje
NLB070286_01	Berend_Botje
NLB070288_01	Ah_vous_dirai_je_maman
NLB070289_01	Schuitje_varen_theetje_drinken
NLB070291_01	Torentje_torentje_bussekruit
NLB070293_01	Op_een_boom_een_koekoek
NLB070299_01	Er_was_er_eens_kermis_in_de_stad
NLB070321_01	Daar_was_laatst_een_meisje_loos_1
NLB070322_01	Wat_hoor_ik_hier_in_het_midden_van_de_nacht
NLB070322_03	Wat_hoor_ik_hier_in_het_midden_van_de_nacht
NLB070323_01	Het_vrouwtje_van_Stavoren_2
NLB070324_01	Ik_stond_op_hoge_bergen_1
NLB070328_01	Schuitje_varen_over_de_zee_2
NLB070331_01	Alles_in_de_wind
NLB070353_01	Wees_nu_verblijd_gij_mensen_al_2
NLB070356_01	Een_meisje_van_achttien_jaren
NLB070358_01	Daar_waren_twee_koningskinderen_2
NLB070359_01	Ik_stond_op_hoge_bergen_1
NLB070360_01	Het_vrouwtje_van_Stavoren_1
NLB070361_01	Daar_waren_twee_koningskinderen_4
NLB070362_01	Voor_de_tralies_van_een_venster
NLB070382_01	Het_was_nacht_het_was_nacht
NLB070383_01	Helder_in_de_kelder_1
NLB070384_01	Anna_zat_te_wachten
NLB070406_01	Daar_ging_een_patertje_langs_de_kant
NLB070407_01	Jan_mijne_man_zou_ruiter_wezen_5
NLB070411_01	Lieve_schipper_vaar_me_over_1
NLB070412_01	Daar_was_laatst_een_meisje_loos_1
NLB070413_01	Jaapje_sta_stil
NLB070414_01	Het_vrouwtje_van_Stavoren_2
NLB070416_01	Snitser_merke
NLB070417_01	Tussen_Keulen_en_Parijs
NLB070418_01	Heb_je_ooit_al_van_je_leven
NLB070420_01	Mijn_vader_zei_laatst_tegen_mij
NLB070421_01	Jan_Hinnerik
NLB070422_01	Jan_Hinnerik
NLB070423_01	Contre_les_chagrins_de_la_vie
NLB070424_01	Ik_stond_op_hoge_bergen_1
NLB070426_01	Laatstmaal_toen_ik_in_het_meiseizoen
NLB070427_01	Al_is_ons_prinsje_nog_zo_klein
NLB070428_01	Crambambuli
NLB070435_01	Komm_stiller_Abend_wieder
NLB070437_01	Daar_was_laatst_een_meisje_loos_1
NLB070438_01	Daar_waren_twee_koningskinderen_4
NLB070440_01	Een_lindeboom_stond_in_het_dal_2
NLB070441_01	Wij_zijn_nog_vrijgezellen
NLB070441_02	Wij_zijn_nog_vrijgezellen
NLB070447_01	Een_drietal_gezellen_trok_over_de_Rijn
NLB070448_01	Toen_ik_stond_op_hoge_bergen_1
NLB070449_01	Een_schone_Anna_diende_1
NLB070457_01	Daar_was_eens_een_molenaarszoon_1
NLB070458_01	Moedertje_kam_mij_het_haar
NLB070459_01	Mijn_zuster_heeft_zeven_vrijers_gehad
NLB070462_01	In_het_lommer_van_het_prieeltje_1
NLB070463_01	Lieve_schipper_vaar_me_over_1
NLB070470_01	Di_tanti_palpiti
NLB070472_01	Suze_mien_lam
NLB070473_01	Suze_mien_lam
NLB070475_01	Er_was_een_koopman_rijk_en_machtig
NLB070479_01	Al_in_die_stad_van_Wenen_2
NLB070481_01	Het_was_op_een_schone_zomerdag
NLB070482_01	Op_het_sombere_kerkhof
NLB070483_01	Toen_Kareltje_in_de_loting_viel_
NLB070486_01	Zeg_meisjelief_waar_weent_gij_om_1
NLB070487_01	Bij_Sedan_op_de_heuvel
NLB070488_01	Daar_achter_in_die_velden
NLB070490_01	Toen_ik_stond_op_hoge_bergen_1
NLB070490_02	Toen_ik_stond_op_hoge_bergen_1
NLB070491_01	Toen_Kareltje_in_de_loting_viel_
NLB070492_01	Wat_zag_ik_daar_van_verre_1
NLB070493_01	Daar_was_laatstmaal_een_ruiter_2
NLB070495_01	Mijn_vader_zei_laatst_tegen_mij
NLB070503_01	Al_in_die_stad_van_Wenen_1
NLB070504_04	Het_was_al_op_een_zondagmorgen_1
NLB070505_02	Zeg_pelgrim_ziet_gij_1
NLB070508_01	Ik_heb_gespeeld_al_met_mijnheer_de_Graaf
NLB070510_01	Toen_ik_stond_op_hoge_bergen_1
NLB070511_01	Als_hier_een_pot_met_bonen_staat_3
NLB070513_01	Al_is_ons_prinsje_nog_zo_klein
NLB070513_02	Al_is_ons_prinsje_nog_zo_klein
NLB070514_01	Olie_olie_van_de_druiven_1
NLB070520_01	Mijn_vader_zei_laatst_tegen_mij
NLB070521_01	Er_was_een_herderinnetje_1
NLB070522_01	Wat_hoor_ik_hier_in_het_midden_van_de_nacht
NLB070523_01	Er_zou_eens_een_jager_uit_jagen_gaan_1
NLB070524_01	Mijn_Julia_is_mij_ontnomen
NLB070525_01	Ik_stond_op_hoge_bergen_1
NLB070526_01	Femmes_voulez_vous_eprouver
NLB070527_01	Daar_zou_er_een_maagdje_vroeg_opstaan_3
NLB070529_01	Ik_voer_laatst_met_mijn_schuitje
NLB070531_01	Adieu_Sofie
NLB070532_01	Lieve_schipper_vaar_me_over_1
NLB070533_01	De_liefde_is_wonder_1
NLB070534_01	Bij_Sedan_op_de_heuvel
NLB070535_01	Het_vrouwtje_van_Stavoren_1
NLB070537_01	Daar_was_laatst_een_meisje_loos_1
NLB070547_01	Mieke_hou_je_vast
NLB070551_01	Schoorsteenveger_ging_op_reis
NLB070553_01	Ik_ben_geboren_in_Frieseland
NLB070554_01	O_Tannenbaum
NLB070555_01	Alle_eendjes
NLB070556_01	In_einem_kühlen_Grunde
NLB070557_01	Ich_hab_ein_kleines_Hüttchen_nur
NLB070558_01	Mijn_vader_zei_laatst_tegen_mij
NLB070560_01	Daar_was_laatst_een_meisje_loos_1
NLB070561_01	Slaap_kindje_slaap_1
NLB070563_01	Weisst_du_wieviel_Sternlein_stehen
NLB070564_01	Ik_stond_op_hoge_bergen_1
NLB070565_01	Ik_stond_op_hoge_bergen_1
NLB070605_01	Al_in_die_stad_van_Wenen_2
NLB070606_01	Er_was_een_koopman_rijk_en_machtig
NLB070607_01	Op_het_sombere_kerkhof
NLB070615_01	O_Tannenbaum
NLB070641_01	Berend_Botje
NLB070642_01	Helder_in_de_kelder_1
NLB070650_01	Torentje_torentje_bussekruit
NLB070651_01	Epompee_poedenee
NLB070693_01	Het_vrouwtje_van_Stavoren_1
NLB070704_01	A_la_berline_postiljon
NLB070705_01	Het_was_op_een_driekoningenavond_2
NLB070710_01	Drie_schuintamboers
NLB070712_01	Contre_les_chagrins_de_la_vie
NLB070713_01	Er_waren_eens_drie_joden
NLB070732_01	Vaarwel_bruidje_schoon
NLB070735_01	Naar_oostland_wil_ik_varen_3
NLB070736_01	Ik_heb_de_groene_straten_2
NLB070738_01	Luister_oud_en_jong_van_jaren_4
NLB070740_01	Een_lindeboom_stond_in_het_dal_1
NLB070741_01	Een_vreemde_heer_kwam_in_de_school
NLB070742_01	Een_boerman_had_een_domme_zin_3
NLB070743_01	De_morin_van_Amerika
NLB070744_01	De_tamboerijn
NLB070745_01	Voorheen_ben_ik_student_geweest
NLB070747_01	Mijn_schat_is_een_matroos_1
NLB070748_01	Zolang_de_boom_zal_bloeien_1
NLB070749_01	In_het_duister_der_bossen
NLB070764_01	Hansje_pansje_kevertje
NLB070766_01	Ons_Katrijntje_was_beschonken
NLB070769_01	Een_vreemde_heer_kwam_in_de_school
NLB070769_02	Een_vreemde_heer_kwam_in_de_school
NLB070800_01	O_dag_o_lang_gewenste_dag_2
NLB070801_01	Daar_reed_een_jonkheer_1
NLB070803_01	Onlangs_ging_ik_uit_jagen
NLB070804_01	Er_zou_eens_een_jager_uit_jagen_gaan_4
NLB070805_01	Een_meisje_zedig_en_vol_van_deugd
NLB070808_01	Daar_zou_er_een_maagdje_vroeg_opstaan_2
NLB070813_01	De_ruiter_met_zijn_blanke_zwaard_1
NLB070833_01	Ontzettend_is_het_geval
NLB070834_01	Wat_hoor_ik_hier_in_het_midden_van_de_nacht
NLB070835_01	Wat_ligt_er_een_zeeman_in_het_verdriet
NLB070836_01	Een_meisje_van_achttien_jaren
NLB070837_01	Ik_heb_de_groene_straten_2
NLB070839_01	Lieve_schipper_vaar_me_over_1
NLB070840_01	De_Garrenkwak
NLB070841_01	De_meid_en_de_moordenaars
NLB070845_01	Suze_mien_lam
NLB070846_01	Suze_mien_lam
NLB070847_01	Suze_mien_lam
NLB070848_01	Jan_de_Mulder_5
NLB070857_01	Snitser_merke
NLB070862_01	Ich_bin_der_Doktor_Eisenbart
NLB070897_01	Jongens_heb_je_het_al_vernomen
NLB070971_02	Wil_horen_goede_huisman_schoon_1
NLB070996_01	Er_reed_er_eens_een_ruiter_1
NLB070997_01	Vrolijk_zullen_we_oplaveren
NLB070998_01	Daar_staat_een_schildwacht_droef_en_bleek
NLB070999_01	Drie_schuintamboers
NLB071000_01	Dies_est_laetitiae_in_ortu_regali
NLB071002_01	Zie_daar_komen_onze_broedertjes_aan
NLB071003_01	Contre_les_chagrins_de_la_vie
NLB071003_02	Contre_les_chagrins_de_la_vie
NLB071004_01	Ich_hab_ein_kleines_Hüttchen_nur
NLB071008_01	Jan_Hinnerik
NLB071011_01	Vrolijk_is_het_op_zee_te_varen
NLB071013_01	Wilder_dan_wild_1
NLB071014_01	Zolang_de_boom_zal_bloeien_1
NLB071016_01	Er_was_een_herderinnetje_1
NLB071017_01	Hoe_vrolijk_kan_een_boer_toch_leven
